timestamp position0 velocity0 radius0 goal pref_speed theta position1 velocity1 radius1 position2 velocity2 radius2 position3 velocity3 radius3 position4 velocity4 radius4 position5 velocity5 radius5 position6 velocity6 radius6 position7 velocity7 radius7 
3.4999988079071045 (1.5110726356506348,0.9507038593292236) (0.0,0.0) 0.2199999988079071 (1.5110726356506348,0.9507038593292236) 1.5 0.0 (1.5110726356506348,1.8) (0,0) 0.05 (1.5110726356506348,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9507038593292236) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
3.599998712539673 (1.5110726356506348,0.9507038593292236) (0.0,0.0) 0.2199999988079071 (1.5110726356506348,0.9507038593292236) 1.5 0.0 (1.5110726356506348,1.8) (0,0) 0.05 (1.5110726356506348,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9507038593292236) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
3.699998617172241 (1.5110726356506348,0.9507038593292236) (0.0,0.0) 0.2199999988079071 (1.5110726356506348,0.9507038593292236) 1.5 0.0 (1.5110726356506348,1.8) (0,0) 0.05 (1.5110726356506348,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9507038593292236) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
3.7999985218048096 (1.5110726356506348,0.9507038593292236) (0.0,0.0) 0.2199999988079071 (1.5110726356506348,0.9507038593292236) 1.5 0.0 (1.5110726356506348,1.8) (0,0) 0.05 (1.5110726356506348,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9507038593292236) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
3.899998426437378 (1.5110726356506348,0.9507038593292236) (0.0,0.0) 0.2199999988079071 (1.5110726356506348,0.9507038593292236) 1.5 0.0 (1.5110726356506348,1.8) (0,0) 0.05 (1.5110726356506348,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9507038593292236) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
3.9999983310699463 (1.5110726356506348,0.9507038593292236) (0.0,0.0) 0.2199999988079071 (1.5110726356506348,0.9507038593292236) 1.5 0.0 (1.5110726356506348,1.8) (0,0) 0.05 (1.5110726356506348,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9507038593292236) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
4.099998474121094 (1.3612185716629028,0.9440897703170776) (-1.498540997505188,-0.06614077836275101) 0.2199999988079071 (1.3612185716629028,0.9440897703170776) 1.5 -3.097484497746708 (1.3612185716629028,1.8) (0,0) 0.05 (1.3612185716629028,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9440897703170776) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
4.199998378753662 (1.2112185955047607,0.9440897703170776) (-1.5,0.0) 0.2199999988079071 (1.2112185955047607,0.9440897703170776) 1.5 3.141592653589793 (1.2112185955047607,1.8) (0,0) 0.05 (1.2112185955047607,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9440897703170776) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
4.2999982833862305 (1.0612186193466187,0.9440897703170776) (-1.5,0.0) 0.2199999988079071 (1.0612186193466187,0.9440897703170776) 1.5 3.141592653589793 (1.0612186193466187,1.8) (0,0) 0.05 (1.0612186193466187,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9440897703170776) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
4.399998188018799 (1.0612186193466187,0.9440897703170776) (0.0,0.0) 0.2199999988079071 (1.0612186193466187,0.9440897703170776) 1.5 0.0 (1.0612186193466187,1.8) (0,0) 0.05 (1.0612186193466187,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9440897703170776) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
4.499998092651367 (0.9113587141036987,0.937608003616333) (-1.4985989332199097,-0.06481795758008957) 0.2199999988079071 (0.9113587141036987,0.937608003616333) 1.5 -3.09836722370706 (0.9113587141036987,1.8) (0,0) 0.05 (0.9113587141036987,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.937608003616333) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
4.5999979972839355 (0.7738723158836365,0.8776289224624634) (-1.374864101409912,-0.5997905135154724) 0.2199999988079071 (0.7738723158836365,0.8776289224624634) 1.5 -2.730228177326834 (0.7738723158836365,1.8) (0,0) 0.05 (0.7738723158836365,0.3) (0,0) 0.05 (2.2,0.8776289224624634) (0,0) 0.05 (2.2,0.8776289224624634) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
4.699997901916504 (0.7738723158836365,0.8776289224624634) (1.4901161193847656e-08,0.0) 0.2199999988079071 (0.7738723158836365,0.8776289224624634) 1.5 0.0 (0.7738723158836365,1.8) (0,0) 0.05 (0.7738723158836365,0.3) (0,0) 0.05 (2.2,0.8776289224624634) (0,0) 0.05 (2.2,0.8776289224624634) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
4.799997806549072 (0.6245315074920654,0.8916763663291931) (-1.4934078454971313,0.14047421514987946) 0.2199999988079071 (0.6245315074920654,0.8916763663291931) 1.5 3.0478057458823953 (0.6245315074920654,1.8) (0,0) 0.05 (0.6245315074920654,0.3) (0,0) 0.05 (2.2,0.8916763663291931) (0,0) 0.05 (2.2,0.8916763663291931) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
4.899997711181641 (0.4928792715072632,0.819789707660675) (-1.3165221214294434,-0.7188668251037598) 0.2199999988079071 (0.4928792715072632,0.819789707660675) 1.5 -2.6417988783362696 (0.4928792715072632,1.8) (0,0) 0.05 (0.4928792715072632,0.3) (0,0) 0.05 (2.2,0.819789707660675) (0,0) 0.05 (2.2,0.819789707660675) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
4.999997615814209 (0.36122703552246094,0.7479029893875122) (-1.316522240638733,-0.7188670039176941) 0.2199999988079071 (0.36122703552246094,0.7479029893875122) 1.5 -2.6417988117954354 (0.36122703552246094,1.8) (0,0) 0.05 (0.36122703552246094,0.3) (0,0) 0.05 (2.2,0.7479029893875122) (0,0) 0.05 (2.2,0.775) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
5.099997520446777 (0.222645103931427,0.8053054809570312) (-1.3858193159103394,0.5740251541137695) 0.2199999988079071 (0.222645103931427,0.8053054809570312) 1.5 2.748893572836443 (0.222645103931427,1.8) (0,0) 0.05 (0.222645103931427,0.3) (0,0) 0.05 (2.2,0.8053054809570312) (0,0) 0.05 (2.2,0.8053054809570312) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
5.199997425079346 (0.08406317234039307,0.8627079725265503) (-1.3858193159103394,0.5740251541137695) 0.2199999988079071 (0.08406317234039307,0.8627079725265503) 1.5 2.748893572836443 (0.08406317234039307,1.8) (0,0) 0.05 (0.08406317234039307,0.3) (0,0) 0.05 (2.2,0.8627079725265503) (0,0) 0.05 (2.2,0.8627079725265503) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
5.299997329711914 (0.026660654693841934,1.0012898445129395) (-0.5740251541137695,1.3858193159103394) 0.2199999988079071 (0.026660654693841934,1.0012898445129395) 1.5 1.9634954075482471 (0.026660654693841934,1.8) (0,0) 0.05 (0.026660654693841934,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,1.0012898445129395) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
5.399997234344482 (0.029291952028870583,0.9931389093399048) (0.026312977075576782,-0.08150960505008698) 0.2199999988079071 (0.029291952028870583,0.9931389093399048) 1.5 -1.2585369096838106 (0.029291952028870583,1.8) (0,0) 0.05 (0.029291952028870583,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.9931389093399048) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
5.499997138977051 (-0.12052229791879654,0.985676109790802) (-1.4981424808502197,-0.07462778687477112) 0.2199999988079071 (-0.12052229791879654,0.985676109790802) 1.5 -3.0918202502937544 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,0.985676109790802) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
5.599997043609619 (-0.2591042220592499,1.0430786609649658) (-1.3858193159103394,0.5740251541137695) 0.2199999988079071 (-0.2591042220592499,1.0430786609649658) 1.5 2.748893572836443 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,1.0430786609649658) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
5.6999969482421875 (-0.2591042220592499,1.0430786609649658) (-1.862645149230957e-09,-1.4901161193847656e-08) 0.2199999988079071 (-0.2591042220592499,1.0430786609649658) 1.5 -1.695151321341658 (0.0,1.8) (0,0) 0.05 (0.0,0.3) (0,0) 0.05 (2.2,0.9) (0,0) 0.05 (2.2,1.0430786609649658) (0,0) 0.05 (2.2,1.1500000000000001) (0,0) 0.05 (2.2,1.5250000000000001) (0,0) 0.05 
